"SKU","Name","Location ID","Stock Level On Hand","Stock Level Available","Location Stock Warn Level","Location Max. Stock Level","Priority"
"YORK-70-WT-AVA-DK-GY-4-SET","York 70cm White &amp;amp;amp; Ava Dining Set - 4 Seats - Dark Grey","","","","","",""
"YORK-70-WT-AVA-DK-GY-2-SET","York 70cm White &amp;amp; Ava Dining Set - 2 Seats - Dark Grey","4175","0","0","0","0","4"
"YORK-70-WT-AURORA-4-WHITE","York 70cm White &amp;amp;amp; Aurora Dining Set - 4 Seats - White","","","","","",""
"YORK-70-WT-AURORA-4-TEAL","York 70cm White &amp;amp;amp; Aurora Dining Set - 4 Seats - Teal","","","","","",""
"YORK-70-WT-AURORA-4-GY","York 70cm White &amp;amp;amp; Aurora Dining Set - 4 Seats - Grey","","","","","",""
"YORK-70-WT-ARABELLA-4-WT","York 70cm White &amp;amp;amp; Arabella Dining Set - 4 Seats - White","","","","","",""
"YORK-70-WT-ARABELLA-4-TEAL","York 70cm White &amp;amp;amp; Arabella Dining Set - 4 Seats - Teal","","","","","",""
"YORK-70-WT-ARABELLA-4-GREY","York 70cm White &amp;amp;amp; Arabella Dining Set - 4 Seats - Grey","","","","","",""
"YORK-70-WHITE","York - Square White Dining Table - 70","4174","0","0","50","0","1001"
"YORK-70-WHITE","York - Square White Dining Table - 70","4175","0","0","0","0","4"
"YORK-70-WHITE","York - Square White Dining Table - 70","4180","0","0","0","0","2"
"YORK-70-WHITE","York - Square White Dining Table - 70","4179","69","67","0","0","5"
"YORK-70-WHITE","York - Square White Dining Table - 70","3","1","1","0","0","1000"
"YORK-70-GY-ORSON-4-SET","York 70cm Grey &amp;amp;amp; Orson Dining Set - 4 Seats","","","","","",""
"YORK-70-GY-ORSON-2-SET","York 70cm Grey &amp;amp;amp; Orson Dining Set - 2 Seats","","","","","",""
"YORK-70-GY-AVA-WT-2-SET","York 70cm Grey &amp;amp;amp; Ava Dining Set - 2 Seats - White","","","","","",""
"YORK-70-GY-AVA-WHITE-4-SET","York 70cm Grey &amp;amp;amp; Ava Dining Set - 4 Seats - White","","","","","",""
"YORK-70-GY-AVA-TEAL-4-SET","York 70cm Grey &amp;amp;amp; Ava Dining Set - 4 Seats - Teal","","","","","",""
"YORK-70-GY-AVA-TEAL-2-SET","York 70cm Grey &amp;amp;amp; Ava Dining Set - 2 Seats - Teal","","","","","",""
"YORK-70-GY-AVA-LT-GY-4-SET","York 70cm Grey &amp;amp;amp; Ava Dining Set - 4 Seats - Light Grey","","","","","",""
"YORK-70-GY-AVA-LT-GY-2-SET","York 70cm Grey &amp;amp;amp; Ava Dining Set - 2 Seats - Light Grey","","","","","",""
"YORK-70-GY-AVA-DK-GY-4-SET","York 70cm Grey &amp;amp;amp; Ava Dining Set - 4 Seats - Dark Grey","","","","","",""
"YORK-70-GY-AVA-DK-GY-2-SET","York 70cm Grey &amp;amp;amp; Ava Dining Set - 2 Seats - Dark Grey","","","","","",""
"YORK-70-GY-AURORA-4-WHITE","York 70cm Grey &amp;amp;amp; Aurora Dining Set - 4 Seats - White","","","","","",""
"YORK-70-GY-AURORA-4-TEAL","York 70cm Grey &amp;amp;amp; Aurora Dining Set - 4 Seats - Teal","","","","","",""
"YORK-70-GY-AURORA-4-GY","York 70cm Grey &amp;amp;amp; Aurora Dining Set - 4 Seats - Grey","","","","","",""
"YORK-70-GY-ARABELLA-4-WT","York 70cm Grey &amp;amp;amp; Arabella Dining Set - 4 Seats - White","","","","","",""
"YORK-70-GY-ARABELLA-4-TEAL","York 70cm Grey &amp;amp;amp; Arabella Dining Set - 4 Seats - Teal","","","","","",""
"YORK-70-GY-ARABELLA-4-GY","York 70cm Grey &amp;amp;amp; Arabella Dining Set - 4 Seats - Grey","","","","","",""
"YORK-70-GREY","York - Square Grey Dining Table - 70","4174","0","0","50","0","1001"
"YORK-70-GREY","York - Square Grey Dining Table - 70","4175","0","0","0","0","4"
"YORK-70-GREY","York - Square Grey Dining Table - 70","4180","0","0","0","0","2"
"YORK-70-GREY","York - Square Grey Dining Table - 70","4179","89","89","0","0","5"
"YORK-200-WT-ORSON-8-SET","York 200cm White &amp;amp;amp; Orson Dining Set - 8 Seats","","","","","",""
"YORK-200-WT-AVA-WHITE-SET","York 200cm White &amp;amp;amp; Ava Dining Set - 8 Seats - White","","","","","",""
"YORK-200-WT-AVA-TEAL-SET","York 200cm White &amp;amp;amp; Ava Dining Set - 8 Seats - Teal","","","","","",""
"YORK-200-WT-AVA-LT-GREY-SET","York 200cm White &amp;amp;amp; Ava Dining Set - 8 Seats - Light Grey","","","","","",""
"YORK-200-WT-AVA-DK-GREY-SET","York 200cm White &amp;amp;amp; Ava Dining Set - 8 Seats - Dark Grey","","","","","",""
"YORK-200-WT-AURORA-8-WHITE","York 200cm White &amp;amp;amp; Aurora Dining Set - 8 Seats - White","","","","","",""
"YORK-200-WT-AURORA-8-TEAL","York 200cm White &amp;amp;amp; Aurora Dining Set - 8 Seats - Teal","","","","","",""
"YORK-200-WT-AURORA-8-GY","York 200cm White &amp;amp;amp; Aurora Dining Set - 8 Seats - Grey","","","","","",""
"YORK-200-WT-ARABELLA-WHITE","York 200cm White &amp;amp;amp; Arabella Dining Set - 8 Seats - White","","","","","",""
"YORK-200-WT-ARABELLA-TEAL","York 200cm White &amp;amp;amp; Arabella Dining Set - 8 Seats - Teal","","","","","",""
"YORK-200-WT-ARABELLA-GREY","York 200cm White &amp;amp;amp; Arabella Dining Set - 8 Seats - Grey","","","","","",""
"YORK-200-WHITE","York - White Dining Table - 200","4174","0","0","50","0","1001"
"YORK-200-WHITE","York - White Dining Table - 200","4175","0","0","0","0","4"
"YORK-200-WHITE","York - White Dining Table - 200","4179","25","25","0","0","5"
"YORK-200-GY-ORSON-8-SET","York 200cm Grey &amp;amp;amp; Orson Dining Set - 8 Seats","","","","","",""
"YORK-200-GY-AVA-WHITE-SET","York 200cm Grey &amp;amp;amp; Ava Dining Set - 8 Seats - White","","","","","",""
"YORK-200-GY-AVA-TEAL-SET","York 200cm Grey &amp;amp;amp; Ava Dining Set - 8 Seats - Teal","","","","","",""
"YORK-200-GY-AVA-LT-GREY-SET","York 200cm Grey &amp;amp;amp; Ava Dining Set - 8 Seats - Light Grey","","","","","",""
"YORK-200-GY-AVA-DK-GREY-SET","York 200cm Grey &amp;amp;amp; Ava Dining Set - 8 Seats - Dark Grey","","","","","",""
"YORK-200-GY-AURORA-8-WHITE","York 200cm Grey &amp;amp;amp; Aurora Dining Set - 8 Seats - White","","","","","",""
"YORK-200-GY-AURORA-8-TEAL","York 200cm Grey &amp;amp;amp; Aurora Dining Set - 8 Seats - Teal","","","","","",""
"YORK-200-GY-AURORA-8-GY","York 200cm Grey &amp;amp;amp; Aurora Dining Set - 8 Seats - Grey","","","","","",""
"YORK-200-GY-ARABELLA-WHITE","York 200cm Grey &amp;amp;amp; Arabella Dining Set - 8 Seats - White","","","","","",""
"YORK-200-GY-ARABELLA-TEAL","York 200cm Grey &amp;amp;amp; Arabella Dining Set - 8 Seats - Teal","","","","","",""
"YORK-200-GY-ARABELLA-GREY","York 200cm Grey &amp;amp;amp; Arabella Dining Set - 8 Seats - Grey","","","","","",""
"YORK-200-GREY","York - Grey Dining Table - 200","4174","0","0","50","0","1001"
"YORK-200-GREY","York - Grey Dining Table - 200","4175","0","0","0","0","4"
"YORK-200-GREY","York - Grey Dining Table - 200","4180","0","0","0","0","2"
"YORK-200-GREY","York - Grey Dining Table - 200","4179","65","65","0","0","5"
"YORK-200-GREY","York - Grey Dining Table - 200","4177","0","0","0","0","1"
"YORK-150-WT-ORSON-4-SET","York 150cm White &amp;amp;amp; Orson Dining Set - 4 Seats","","","","","",""
"YORK-150-WT-AVA-WHITE-SET","York 150cm White &amp;amp;amp; Ava Dining Set - 4 Seats - White","","","","","",""
"YORK-150-WT-AVA-TEAL-SET","York 150cm White &amp;amp;amp; Ava Dining Set - 4 Seats - Teal","","","","","",""
"YORK-150-WT-AVA-LT-GREY-SET","York 150cm White &amp;amp;amp; Ava Dining Set - 4 Seats - Light Grey","","","","","",""
"YORK-150-WT-AVA-DK-GREY-SET","York 150cm White &amp;amp;amp; Ava Dining Set - 4 Seats - Dark Grey","","","","","",""
"YORK-150-WT-AVA-4-SET-WHITE-1","York 150cm White &amp; Ava Dining Set - 4 Seats - White","","","","","",""
"YORK-150-WT-AVA-4-SET-TEAL-1","York 150cm White &amp; Ava Dining Set - 4 Seats - Teal","","","","","",""
"YORK-150-WT-AVA-4-SET-LT-GY-1","York 150cm White &amp; Ava Dining Set - 4 Seats - Light Grey","","","","","",""
"YORK-150-WT-AVA-4-SET-DK-GY-1","York 150cm White &amp; Ava Dining Set - 4 Seats - Dark Grey","","","","","",""
"YORK-150-WT-AURORA-4-WHITE","York 150cm White &amp;amp;amp; Aurora Dining Set - 4 Seats - White","","","","","",""
"YORK-150-WT-AURORA-4-TEAL","York 150cm White &amp;amp;amp; Aurora Dining Set - 4 Seats - Teal","","","","","",""
"YORK-150-WT-AURORA-4-SET-WHITE","York 150cm White &amp; Aurora Dining Set - 4 Seats - White","","","","","",""
"YORK-150-WT-AURORA-4-SET-TEAL","York 150cm White &amp;amp; Aurora Dining Set - 4 Seats - Teal","","","","","",""
"YORK-150-WT-AURORA-4-SET-GREY","York 150cm White &amp;amp; Aurora Dining Set - 4 Seats - Grey","","","","","",""
"YORK-150-WT-AURORA-4-GY","York 150cm White &amp;amp;amp; Aurora Dining Set - 4 Seats - Grey","","","","","",""
"YORK-150-WT-ARABELLA-WHITE","York 150cm White &amp;amp;amp; Arabella Dining Set - 4 Seats - White","","","","","",""
"YORK-150-WT-ARABELLA-TEAL","York 150cm White &amp;amp;amp; Arabella Dining Set - 4 Seats - Teal","","","","","",""
"YORK-150-WT-ARABELLA-GREY","York 150cm White &amp;amp;amp; Arabella Dining Set - 4 Seats - Grey","","","","","",""
"YORK-150-WHITE","York - White Dining Table - 150","4174","0","0","50","0","1001"
"YORK-150-WHITE","York - White Dining Table - 150","4175","0","0","0","0","4"
"YORK-150-WHITE","York - White Dining Table - 150","3","1","1","0","0","0"
"YORK-150-WHITE","York - White Dining Table - 150","4180","0","0","0","0","2"
"YORK-150-WHITE","York - White Dining Table - 150","4179","70","70","0","0","5"
"YORK-150-WHITE","York - White Dining Table - 150","4177","0","0","0","0","1"
"YORK-150-GY-ORSON-4-SET","York 150cm Grey &amp;amp;amp; Orson Dining Set - 4 Seats","","","","","",""
"YORK-150-GY-AVA-WHITE-SET","York 150cm Grey &amp;amp;amp; Ava Dining Set - 4 Seats - White","","","","","",""
"YORK-150-GY-AVA-TEAL-SET","York 150cm Grey &amp;amp;amp; Ava Dining Set - 4 Seats - Teal","","","","","",""
"YORK-150-GY-AVA-LT-GREY-SET","York 150cm Grey &amp;amp;amp; Ava Dining Set - 4 Seats - Light Grey","","","","","",""
"YORK-150-GY-AVA-DK-GREY-SET","York 150cm Grey &amp;amp;amp; Ava Dining Set - 4 Seats - Dark Grey","","","","","",""
"YORK-150-GY-AVA-4-SET-WHITE","York 150cm Grey &amp; Ava Dining Set - 4 Seats - White","","","","","",""
"YORK-150-GY-AVA-4-SET-TEAL","York 150cm Grey &amp; Ava Dining Set - 4 Seats - Teal","","","","","",""
"YORK-150-GY-AVA-4-SET-LT-GY","York 150cm Grey &amp; Ava Dining Set - 4 Seats - Light Grey","","","","","",""
"YORK-150-GY-AVA-4-SET-DK-GY","York 150cm Grey &amp; Ava Dining Set - 4 Seats - Dark Grey","","","","","",""
"YORK-150-GY-AURORA-4-WHITE","York 150cm Grey &amp;amp;amp; Aurora Dining Set - 4 Seats - White","","","","","",""
"YORK-150-GY-AURORA-4-TEAL","York 150cm Grey &amp;amp;amp; Aurora Dining Set - 4 Seats - Teal","","","","","",""
"YORK-150-GY-AURORA-4-SET-WH","York 150cm Grey &amp; Aurora Dining Set - 4 Seats - White","","","","","",""
"YORK-150-GY-AURORA-4-SET-TE","York 150cm Grey &amp; Aurora Dining Set - 4 Seats - Teal","","","","","",""
"YORK-150-GY-AURORA-4-SET-GR","York 150cm Grey &amp; Aurora Dining Set - 4 Seats - Grey","","","","","",""
"YORK-150-GY-AURORA-4-GY","York 150cm Grey &amp;amp;amp; Aurora Dining Set - 4 Seats - Grey","","","","","",""
"YORK-150-GY-ARABELLA-WHITE","York 150cm Grey &amp;amp;amp; Arabella Dining Set - 4 Seats - White","","","","","",""
"YORK-150-GY-ARABELLA-TEAL","York 150cm Grey &amp;amp;amp; Arabella Dining Set - 4 Seats - Teal","","","","","",""
"YORK-150-GY-ARABELLA-GREY","York 150cm Grey &amp;amp;amp; Arabella Dining Set - 4 Seats - Grey","","","","","",""
"YORK-150-GREY","York - Grey Dining Table - 150","4174","0","0","50","0","1001"
"YORK-150-GREY","York - Grey Dining Table - 150","4175","0","0","0","0","4"
"YORK-150-GREY","York - Grey Dining Table - 150","4179","97","97","0","0","5"
"YORK-150-GREY","York - Grey Dining Table - 150","4180","0","0","0","0","2"
"YORK-120-WT-ORSON-4-SET","York 120cm White &amp;amp;amp; Orson Dining Set - 4 Seats","","","","","",""
"YORK-120-WT-AVA-WHITE-SET","York 120cm White &amp;amp;amp; Ava Dining Set - 4 Seats - White","","","","","",""
"YORK-120-WT-AVA-TEAL-SET","York 120cm White &amp;amp;amp; Ava Dining Set - 4 Seats - Teal","","","","","",""
"YORK-120-WT-AVA-LT-GREY-SET","York 120cm White &amp;amp;amp; Ava Dining Set - 4 Seats - Light Grey","","","","","",""
"YORK-120-WT-AVA-DK-GREY-SET","York 120cm White &amp;amp;amp; Ava Dining Set - 4 Seats - Dark Grey","","","","","",""
"YORK-120-WT-AURORA-4-WHITE","York 120cm White &amp;amp;amp; Aurora Dining Set - 4 Seats - White","","","","","",""
"YORK-120-WT-AURORA-4-TEAL","York 120cm White &amp;amp;amp; Aurora Dining Set - 4 Seats - Teal","","","","","",""
"YORK-120-WT-AURORA-4-GY","York 120cm White &amp;amp;amp; Aurora Dining Set - 4 Seats - Grey","","","","","",""
"YORK-120-WT-ARABELLA-WHITE","York 120cm White &amp;amp;amp; Arabella Dining Set - 4 Seats - White","","","","","",""
"YORK-120-WT-ARABELLA-TEAL","York 120cm White &amp;amp;amp; Arabella Dining Set - 4 Seats - Teal","","","","","",""
"YORK-120-WT-ARABELLA-GREY","York 120cm White &amp;amp;amp; Arabella Dining Set - 4 Seats - Grey","","","","","",""
"YORK-120-WHITE","York - White Dining Table - 120","4174","0","0","50","0","1001"
"YORK-120-WHITE","York - White Dining Table - 120","4175","0","0","0","0","4"
"YORK-120-WHITE","York - White Dining Table - 120","3","0","0","0","0","0"
"YORK-120-WHITE","York - White Dining Table - 120","4180","0","0","0","0","2"
"YORK-120-WHITE","York - White Dining Table - 120","4179","90","90","0","0","5"
"YORK-120-GY-ORSON-4-SET","York 120cm Grey &amp;amp;amp; Orson Dining Set - 4 Seats","","","","","",""
"YORK-120-GY-AVA-WHITE-SET","York 120cm Grey &amp;amp;amp; Ava Dining Set - 4 Seats - White","","","","","",""
"YORK-120-GY-AVA-TEAL-SET","York 120cm Grey &amp;amp;amp; Ava Dining Set - 4 Seats - Teal","","","","","",""
"YORK-120-GY-AVA-LT-GREY-SET","York 120cm Grey &amp;amp;amp; Ava Dining Set - 4 Seats - Light Grey","","","","","",""
"YORK-120-GY-AVA-DK-GREY-SET","York 120cm Grey &amp;amp;amp; Ava Dining Set - 4 Seats - Dark Grey","","","","","",""
"YORK-120-GY-AURORA-4-WHITE","York 120cm Grey &amp;amp;amp; Aurora Dining Set - 4 Seats - White","","","","","",""
"YORK-120-GY-AURORA-4-TEAL","York 120cm Grey &amp;amp;amp; Aurora Dining Set - 4 Seats - Teal","","","","","",""
"YORK-120-GY-AURORA-4-GY","York 120cm Grey &amp;amp;amp; Aurora Dining Set - 4 Seats - Grey","","","","","",""
"YORK-120-GY-ARABELLA-WHITE","York 120cm Grey &amp;amp;amp; Arabella Dining Set - 4 Seats - White","","","","","",""
"YORK-120-GY-ARABELLA-TEAL","York 120cm Grey &amp;amp;amp; Arabella Dining Set - 4 Seats - Teal","","","","","",""
"YORK-120-GY-ARABELLA-GREY","York 120cm Grey &amp;amp;amp; Arabella Dining Set - 4 Seats - Grey","","","","","",""
"YORK-120-GREY","York - Grey Dining Table - 120","4174","0","0","50","0","1001"
"YORK-120-GREY","York - Grey Dining Table - 120","4175","0","0","0","0","4"
"YORK-120-GREY","York - Grey Dining Table - 120","4179","86","85","0","0","5"
"YORK-120-GREY","York - Grey Dining Table - 120","4180","0","0","0","0","2"
"Xtra Delivery Charge","Xtra Delivery Charge","","","","","",""
"xtra charge for 162435","Extra Delivery charge","","","","","",""
"WYATT-TABLE-50CM","Wyatt  Round Coffee Table","4174","0","0","0","0","1001"
"WYATT-TABLE-50CM","Wyatt  Round Coffee Table","4175","0","0","0","0","4"
"WYATT-TABLE-50","Wyatt Round Coffee Table","","","","","",""
"WREN-CHAIR-PINK","WREN-CHAIR-PINK","4174","0","0","0","0","1001"
"WREN-CHAIR-PINK","WREN-CHAIR-PINK","4175","0","0","0","0","4"
"WREN-CHAIR-PINK","WREN-CHAIR-PINK","4179","43","43","0","0","5"
"WREN-CHAIR-GREY","WREN-CHAIR-GREY","4174","0","0","0","0","1001"
"WREN-CHAIR-GREY","WREN-CHAIR-GREY","4175","0","0","0","0","4"
"WREN-CHAIR-GREY","WREN-CHAIR-GREY","4179","27","27","0","0","5"
"WINTON-DINING-CHAIR","Winton - Teak Garden Chair","4174","0","0","0","0","1001"
"WINTON-DINING-CHAIR","Winton - Teak Garden Chair","4175","0","0","0","0","4"
"WINTON-8S","Winton - 8 Seater Garden Dining Set","","","","","",""
"WINTON-6S","Winton - 6 Seater Garden Dining Set","","","","","",""
"WINTON-4S","Winton - 4 Seater Garden Dining set","","","","","",""
"Windsor01","Windsor - 3 Seater Bench","4174","0","0","0","0","1001"
"Windsor01","Windsor - 3 Seater Bench","4175","0","0","0","0","4"
"WIDE-STAND-PLANTER","Concrete Planter on Plant Stand W.56.5 X H.57","4174","0","0","0","0","1001"
"WIDE-STAND-PLANTER","Concrete Planter on Plant Stand W.56.5 X H.57","4175","0","0","0","0","4"
"WHITE-WALNUT-6S-180","Bojan - 180cm Walnut Dining Set - 6 Seats - White","","","","","",""
"WHITE-WALNUT-6S-150","Bojan - 150cm Walnut Dining Set - 6 Seats - White","","","","","",""
"WHITE-WALNUT-4S-120","Skagen - Round Walnut Dining Set - 4 Seats - White","","","","","",""
"WHITE-WALNUT-4S-110","Bojan - Round Walnut Dining Set - 4 Seats - White","","","","","",""
"WHITE-STORAGE-BENCH","Open ̢???? White Storage Bench","4174","0","0","0","0","1001"
"WHITE-STORAGE-BENCH","Open ̢???? White Storage Bench","4175","0","0","0","0","4"
"White Oak Flooring","White Oak Flooring","4174","0","0","0","0","1001"
"White Oak Flooring","White Oak Flooring","4175","0","0","0","0","4"
"WESLEY-BENCH-CUSHION","Wesley Bench Cushion","4174","0","0","0","0","1001"
"WESLEY-BENCH-CUSHION","Wesley Bench Cushion","4177","56","56","0","0","1"
"WESLEY-BENCH-CUSHION","Wesley Bench Cushion","4180","57","57","0","0","1003"
"WESLEY-BENCH-2S","Wesley Teak Garden Bench - 2-Seater","4174","0","0","0","0","1001"
"WESLEY-BENCH-2S","Wesley Teak Garden Bench - 2-Seater","4177","93","92","0","0","1"
"WESLEY-BENCH-2S","Wesley Teak Garden Bench - 2-Seater","4180","94","94","0","0","1003"
"WESLEY-BENCH-2S","Wesley Teak Garden Bench - 2-Seater","3","1","1","0","0","5"
"WESLEY-BENCH-2S","Wesley Teak Garden Bench - 2-Seater","4181","1","1","0","0","1004"
"Wentworth-lounge-set-2-of-2","Wentworth - Wentworth Lounge Set 2 of 2","4174","0","0","0","0","1001"
"Wentworth-lounge-set-2-of-2","Wentworth - Wentworth Lounge Set 2 of 2","4175","0","0","0","0","4"
"Wentworth-lounge-set-1-of-2","Wentworth - Wentworth Lounge Set 1 of 2","4174","0","0","0","0","1001"
